File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\SetStatsView.java,25,13,7,0,10,0,2,8,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\SideBar.java,328,244,189,15,52,0,32,148,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\SnapshotView.java,620,488,385,43,76,2,56,166,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\StartupView.java,185,112,91,4,37,1,36,107,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowAssignFunctionsView.java,23,18,13,1,5,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowCompareSnapshotsView.java,22,18,13,1,4,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowContainerView.java,36,18,13,1,7,0,11,26,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowEventLogView.java,23,18,13,1,5,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowModulesView.java,23,18,13,1,5,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowSetStatsView.java,23,18,13,1,5,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowSnapshotView.java,23,18,13,1,5,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowStartupView.java,24,19,14,1,5,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\WorkbenchView.java,24,18,13,1,6,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\interfaces\IManageContainer.java,15,8,7,0,7,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\interfaces\IStartupView.java,20,13,12,0,7,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\interfaces\temp\ManageContainerImpl.java,29,18,11,3,8,0,3,12,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\interfaces\temp\StartupViewImpl.java,69,47,29,9,16,0,6,31,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\sidebar\ManageContainer.java,50,30,25,0,12,0,8,26,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer\ContainerWizard.java,49,35,29,1,14,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer\Page1.java,90,67,56,7,16,0,7,17,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\NewDataSoure.java,21,15,12,1,6,0,0,0,0,0
